rank,name_kor,name_service,name,lat,lon
1,서울시   ,서울,seoul,37.540705,126.956764
2,인천광역시,인천,incheon,37.469221,126.473234
3,광주광역시,광주,gwangju,35.156033,126.831302
4,대구광역시,대구,daegu,35.798838,128.583052
5,울산광역시,울산,ulsan,35.619301,129.239078
6,대전광역시,대전,daejeon,36.321655,127.378953
7,부산광역시,부산,busan,35.198362,129.053922
8,경기도   ,경기,gyeonggi,37.567167,127.450292
9,강원도   ,강원,gangwon,37.555837,128.409315
10,충청남도 ,충남,chungnam,36.557229,126.779757
11,충청북도 ,충북,chungbuk,36.828503,127.729344
12,경상북도 ,경북,gyeongbuk,36.348647,128.664734
13,경상남도 ,경남,gyeongnam,35.259787,128.164734
14,전라북도 ,전북,jeonbuk,35.716705,127.144185
15,전라남도 ,전남,jeonnam,34.719400,126.893113
16,제주도  ,제주,jeju,33.364805,126.542671
